"","Location","Category","ID","richness","H","percentNN","percentB","Buckthorn"
"28","Five Points Forest","EAB Gap",4,3,0.867563228481461,66.6666666666667,66.6666666666667,40
"29","Five Points Forest","Non-Gap",1,3,0.867563228481461,0,0,0
"30","Five Points Forest","Non-Gap",2,3,0.867563228481461,0,0,0
"31","Five Points Forest","Non-Gap",3,4,1.19354960409813,10,10,10
"32","Five Points Forest","Non-Gap",4,3,1.09861228866811,0,0,0
"33","Five Points Forest","Other Gap",1,4,1.15374194270109,14.2857142857143,14.2857142857143,10
"34","Five Points Forest","Other Gap",2,3,0.867563228481461,0,0,0
"35","Five Points Forest","Other Gap",3,4,1.38629436111989,25,25,10
"36","Five Points Forest","Other Gap",4,4,1.19354960409813,10,10,10
"37","Meadowlily Woods","EAB Gap",1,3,0.964962923007428,0,0,0
"38","Meadowlily Woods","EAB Gap",2,4,1.38629436111989,25,25,10
"39","Meadowlily Woods","EAB Gap",3,5,1.6094379124341,20,20,10
"40","Meadowlily Woods","EAB Gap",4,5,1.38629436111989,12.5,12.5,10
"41","Meadowlily Woods","Non-Gap",1,3,0.867563228481461,0,0,0
"42","Meadowlily Woods","Non-Gap",2,5,1.6094379124341,0,0,0
"43","Meadowlily Woods","Non-Gap",3,3,0.867563228481461,0,0,0
"44","Meadowlily Woods","Non-Gap",4,4,0.836988216785836,0,0,0
"45","Meadowlily Woods","Other Gap",1,3,0.600166073159646,0,0,0
"46","Meadowlily Woods","Other Gap",2,6,1.58109375017182,0,0,0
"47","Meadowlily Woods","Other Gap",3,5,1.3896811919839,9.09090909090909,9.09090909090909,10
"48","Meadowlily Woods","Other Gap",4,5,1.6094379124341,0,0,0
"49","Medway Valley","EAB Gap",1,3,0.916464885539471,54.5454545454545,54.5454545454545,60
"50","Medway Valley","EAB Gap",2,5,1.31143133747324,0,0,0
"51","Medway Valley","EAB Gap",3,3,0.867563228481461,0,0,0
"52","Medway Valley","EAB Gap",4,4,0.836988216785836,8.33333333333333,8.33333333333333,10
"53","Medway Valley","Non-Gap",1,6,1.79175946922805,16.6666666666667,0,0
"54","Medway Valley","Non-Gap",2,3,0.735621939758795,0,0,0
"55","Medway Valley","Non-Gap",3,2,0.673011667009257,0,0,0
"56","Medway Valley","Non-Gap",4,3,0.735621939758795,0,0,0
"57","Medway Valley","Other Gap",1,5,1.6094379124341,0,0,0
"58","Medway Valley","Other Gap",2,2,0.410116318288409,85.7142857142857,85.7142857142857,60
"59","Medway Valley","Other Gap",3,3,0.867563228481461,66.6666666666667,66.6666666666667,40
"60","Medway Valley","Other Gap",4,4,1.19354960409813,10,10,10
"61","Westminster Ponds","EAB Gap",1,3,0.600166073159646,81.8181818181818,81.8181818181818,90
"62","Westminster Ponds","EAB Gap",2,5,1.45080502008392,0,0,0
"63","Westminster Ponds","EAB Gap",3,4,1.19354960409813,10,10,10
"64","Westminster Ponds","EAB Gap",4,5,1.04379388084415,69.2307692307692,69.2307692307692,90
"65","Westminster Ponds","Non-Gap",1,3,0.600166073159646,9.09090909090909,9.09090909090909,10
"66","Westminster Ponds","Non-Gap",2,3,0.867563228481461,16.6666666666667,16.6666666666667,10
"67","Westminster Ponds","Non-Gap",3,4,1.02003695840184,6.66666666666667,6.66666666666667,10
"68","Westminster Ponds","Non-Gap",4,7,1.74806734854609,10,10,10
"69","Westminster Ponds","Other Gap",1,3,0.916464885539471,9.09090909090909,9.09090909090909,10
"70","Westminster Ponds","Other Gap",2,4,1.02003695840184,60,60,90
"71","Westminster Ponds","Other Gap",3,4,0.836988216785836,8.33333333333333,8.33333333333333,10
"72","Westminster Ponds","Other Gap",4,5,1.38629436111989,50,50,40
